Time (hr)	Mold-wood (mm)
0	0
131.1053985	1.789264414
709.5115681	3.578528827
1403.598972	35.78528827
1742.930591	67.99204771
1943.44473	93.93638171
2066.838046	102.8827038
2259.640103	129.72167
2491.002571	152.0874751
2668.380463	186.083499
2930.59126	215.6063618
3169.66581	244.2345924
3424.164524	284.4930417
3740.359897	311.332008
4048.843188	338.1709742
4503.856041	361.4314115
4997.429306	376.640159
5491.002571	396.3220676
5853.470437	406.1630219
6393.316195	407.9522863
7187.660668	406.1630219
8390.745501	407.0576541
7827.763496	406.1630219
