Rank	Word	Frequency
1	the	795170
2	to	504706
3	and	479484
4	a	416154
5	of	411095
6	in	270475
7	is	209506
8	that	186305
9	for	180290
10	I	172807
11	with	139815
12	you	134820
13	on	130406
14	it	123010
15	The	99835
16	as	97682
17	are	96806
18	be	93873
19	your	82425
20	have	82365
21	was	81882
22	this	81630
23	or	74574
24	at	73759
25	from	70795
26	an	65219
27	can	63173
28	not	61810
29	by	59239
30	but	57559
31	will	55624
32	has	50155
33	about	49063
34	my	48753
35	more	48585
36	all	47543
37	we	46343
38	they	44778
39	their	44525
40	one	43507
41	so	38951
42	like	38446
43	up	38217
44	his	38054
45	out	37958
46	her	35269
47	he	34111
48	when	33407
49	our	33252
50	on the	33140
51	time	32942
52	just	32473
53	which	32332
54	who	32206
55	what	32178
56	if	31891
57	do	31522
58	also	31318
59	This	30907
60	them	29094
61	new	28830
62	into	28701
63	been	28613
64	some	28254
65	had	28212
66	would	27514
67	me	27416
68	how	27340
69	than	27340
70	other	26568
71	get	26503
72	It	26188
73	In	25872
74	were	25588
75	there	24606
76	its	24569
77	people	24495
78	make	22993
79	she	21679
80	said	21481
81	If	21429
82	only	21301
83	But	21218
84	use	21083
85	first	21049
86	any	20724
87	We	20441
88	most	20348
89	no	20011
90	And	19955
91	way	19893
92	these	19851
93	over	19762
94	.”	19610
95	A	19060
96	know	18781
97	You	18444
98	work	18194
99	even	17969
100	much	17794
101	could	17586
102	because	17516
103	very	17454
104	see	17366
105	now	17340
106	many	17017
107	may	16861
108	need	16832
109	book	16771
110	think	16754
111	want	16732
112	good	16560
113	two	16513
114	years	16378
115	then	16189
116	where	15807
117	through	15672
118	really	15328
119	well	15319
120	back	15128
121	data	14823
122	should	14751
123	after	14606
124	those	14393
125	us	14104
126	it’s	13944
127	year	13420
128	help	13338
129	take	13334
130	before	13212
131	"."""	13201
132	being	13156
133	too	13143
134	such	12929
135	still	12764
136	made	12729
137	great	12711
138	going	12701
139	go	12636
140	He	12598
141	best	12514
142	right	12463
143	day	12375
144	find	12243
145	own	12195
146	while	12088
147	love	12071
148	life	12057
149	him	11979
150	used	11839
151	same	11689
152	When	11564
153	around	11555
154	things	11483
155	As	11412
156	down	11297
157	want to	11247
158	For	11239
159	each	11234
160	don’t	11187
161	world	11098
162	off	11093
163	So	11088
164	something	11049
165	using	11018
166	every	10852
167	What	10621
168	both	10613
169	little	10565
170	business	10543
171	look	10500
172	different	10451
173	the same	10372
174	last	10333
175	few	10330
176	here	10257
177	did	10199
178	always	10162
179	read	10126
180	better	10096
181	They	10045
182	it's	10005
183	I’m	9998
184	never	9974
185	might	9733
186	say	9698
187	It’s	9663
188	information	9619
189	does	9581
190	There	9502
191	need to	9502
192	lot	9468
193	between	9465
194	part	9410
195	story	9334
196	home	9006
197	long	8980
198	have to	8906
199	am	8842
200	another	8782
201	without	8772
202	next	8754
203	set	8732
204	come	8722
205	says	8674
206	to do	8599
207	books	8550
208	place	8524
209	I'm	8357
210	a lot	8354
211	company	8206
212	sure	8205
213	experience	8123
214	got	8072
215	the most	8066
216	thing	8053
217	as well	7992
218	She	7973
219	three	7964
220	since	7874
221	end	7795
222	keep	7794
223	don't	7792
224	feel	7733
225	found	7704
226	New	7650
227	all the	7625
228	during	7495
229	My	7484
230	out of	7444
231	including	7372
232	family	7311
233	why	7227
234	system	7160
235	a few	7148
236	able	7129
237	makes	7100
238	support	7091
239	making	7045
240	until	7044
241	important	7038
242	How	7016
243	That	6951
244	show	6941
245	To	6905
246	available	6900
247	though	6851
248	put	6839
249	you’re	6810
250	With	6808
251	big	6808
252	team	6806
253	often	6766
254	working	6754
255	high	6749
256	start	6717
257	ever	6715
258	give	6713
259	change	6710
260	enough	6630
261	number	6624
262	days	6619
263	It's	6608
264	small	6572
265	again	6527
266	must	6456
267	the best	6450
268	content	6416
269	service	6410
270	away	6395
271	actually	6381
272	looking	6376
273	top	6364
274	food	6346
275	market	6335
276	One	6271
277	point	6242
278	week	6206
279	already	6185
280	such as	6175
281	create	6143
282	the world	6141
283	process	6075
284	doing	6045
285	less	5970
286	together	5948
287	course	5865
288	try	5858
289	across	5800
290	users	5774
291	under	5758
292	comes	5736
293	having	5726
294	These	5719
295	name	5707
296	list	5699
297	case	5697
298	a little	5677
299	getting	5676
300	real	5666
301	products	5658
302	services	5658
303	free	5647
304	old	5636
305	against	5574
306	easy	5553
307	site	5551
308	bit	5542
309	that is	5533
310	become	5487
311	app	5484
312	hard	5475
313	example	5457
314	writing	5455
315	times	5453
316	series	5449
317	Google	5437
318	full	5432
319	open	5423
320	technology	5403
321	least	5384
322	reading	5383
323	security	5381
324	means	5333
325	product	5321
326	access	5315
327	customers	5296
328	called	5295
329	thought	5277
330	online	5263
331	today	5239
332	school	5237
333	After	5216
334	everything	5215
335	once	5215
336	add	5205
337	order	5199
338	At	5197
339	kind	5196
340	women	5192
341	done	5191
342	provide	5180
343	far	5151
344	I’ve	5149
345	past	5149
346	companies	5146
347	page	5141
348	someone	5121
349	based	5117
350	up to	5082
351	within	5062
352	run	5050
353	left	5046
354	all of	5038
355	video	5027
356	needs	4987
357	started	4981
358	Now	4968
359	fact	4965
360	possible	4940
361	second	4931
362	money	4924
363	yet	4923
364	million	4909
365	game	4893
366	live	4886
367	share	4885
368	On	4878
369	water	4877
370	While	4863
371	anything	4853
372	future	4782
373	American	4766
374	features	4755
375	All	4751
376	post	4749
377	as well as	4746
